保存日期:2026.7.13,标定数据版本号,D4AYA-SFB8-300-E0-170719
Time,ESPD_Value(rpm),Cy_judge_OK(),APP_Value(%),APP_Trq_Pct(%),Trq_Tgt_Pct(%),TPS_Tgt(%),TPS_Value(%),TIP_Tgt(kPa),TIP_Value(kPa),MAP_Value(kPa),WGV_PWM_DuCy(%),Air_Flow(kg/h),Fuel_Flow(kg/h),Fuel_In(mg/Inj),Lam_Tgt(),Lam_Value(),LamCL_Mult(%),LamAL_Mult(%),Inj_PW(ms),Spk_Adv(CAD),NGP_Value(kPa)
保存时间,发动机转速(rpm),判缸成功标志(),油门开度(%),油门扭矩百分比(%),最终扭矩百分比(%),节气门开度目标(%),节气门开度(%),增压压力目标(kPa),增压压力(kPa),进气歧管压力(kPa),废气旁通控制阀占空比(%),空气质量流量(kg/h),燃气质量流量(kg/h),一组喷嘴一次喷射质量(mg/Inj),过量空气系数目标(),过量空气系数(),空燃比闭环喷射量补偿(%),空燃比自适应喷射量补偿(%),燃气喷射脉宽(ms),点火提前角(CAD),喷嘴前燃气压力(kPa)
102.634s,1155,1,0.0,0.00,0.00,6.00,5.78,54.45,94.27,14.29,89.6,13.500,0.504,4.06,1.250,0.726,0.0,-9.2,1.592,12.27,450.7
102.688s,1151,1,0.0,0.00,0.00,6.00,5.78,54.45,94.27,14.29,89.6,13.500,0.504,4.06,1.250,0.726,0.0,-9.2,1.592,12.27,451.0
102.742s,1151,1,0.0,0.00,0.00,6.00,5.78,54.45,94.27,14.29,89.6,13.500,0.504,4.06,1.250,0.726,0.0,-9.2,1.592,12.27,451.0
102.796s,1151,1,0.0,0.00,0.00,6.00,5.78,54.45,94.27,14.29,89.6,13.500,0.504,4.06,1.250,0.726,0.0,-9.2,1.592,12.27,451.0
102.850s,1151,1,0.0,0.00,0.00,6.00,5.78,54.52,94.27,14.29,89.6,13.500,0.504,4.06,1.250,0.726,0.0,-9.2,1.592,12.27,451.0
102.904s,1151,1,0.0,0.00,0.00,6.00,5.78,54.52,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.2,1.592,12.27,451.0
102.958s,1151,1,0.0,0.00,0.00,6.00,5.78,54.52,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.592,12.27,451.0
103.012s,1151,1,0.0,0.00,0.00,6.00,5.78,54.52,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.624,12.27,451.2
103.066s,1143,1,0.0,0.00,0.00,6.00,5.78,54.52,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.624,12.27,451.2
103.120s,1143,1,0.0,0.00,0.00,6.00,5.92,54.52,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.624,12.27,451.2
103.174s,1143,1,0.0,0.00,0.00,6.00,5.92,54.57,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.624,12.27,451.2
103.228s,1143,1,0.0,0.00,0.00,6.00,5.92,54.57,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.624,12.27,451.2
103.282s,1143,1,0.0,0.00,0.00,6.00,5.92,54.57,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.624,12.27,451.2
103.336s,1143,1,0.0,0.00,0.00,6.00,5.92,54.57,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.630,12.27,451.2
103.389s,1136,1,0.0,0.00,0.00,6.00,5.92,54.57,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.630,12.27,451.0
103.443s,1136,1,0.0,0.00,0.00,6.00,5.92,54.57,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.630,12.27,451.0
103.497s,1136,1,0.0,0.00,0.00,6.00,5.92,54.64,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.630,12.27,451.0
103.551s,1136,1,0.0,0.00,0.00,6.00,5.92,54.64,94.27,14.29,89.6,13.500,0.504,4.09,1.250,0.726,0.0,-9.4,1.630,12.27,451.0
103.605s,1136,1,0.0,0.00,0.00,6.00,5.92,54.64,94.27,14.29,89.6,13.500,0.504,4.12,1.250,0.726,0.0,-9.4,1.630,12.27,451.0
103.659s,1136,1,0.0,0.00,0.00,6.00,5.92,54.64,94.27,14.29,89.6,13.500,0.504,4.12,1.250,0.726,0.0,-9.6,1.635,12.27,451.0
103.713s,1130,1,0.0,0.00,0.00,6.00,5.92,54.64,94.27,14.29,89.6,13.500,0.504,4.12,1.250,0.726,0.0,-9.6,1.635,12.27,449.9
103.767s,1130,1,0.0,0.00,0.00,6.00,5.92,54.64,94.27,14.29,89.6,13.500,0.504,4.12,1.250,0.726,0.0,-9.6,1.635,12.27,449.9
103.821s,1130,1,0.0,0.00,0.00,6.00,5.92,54.71,94.27,14.29,89.6,13.500,0.504,4.12,1.250,0.726,0.0,-9.6,1.635,12.27,449.9
103.875s,1130,1,0.0,0.00,0.00,6.00,5.92,54.71,94.27,14.29,89.7,13.500,0.504,4.12,1.250,0.726,0.0,-9.6,1.635,12.27,449.9
103.929s,1130,1,0.0,0.00,0.00,6.00,5.92,54.71,94.27,14.29,89.7,13.500,0.504,4.03,1.250,0.726,0.0,-9.6,1.635,12.27,449.9
103.983s,1130,1,0.0,0.00,0.00,6.00,5.92,54.71,94.27,14.29,89.7,13.500,0.504,4.03,1.250,0.726,0.0,-9.6,1.622,12.27,449.9
104.037s,1122,1,0.0,0.00,0.00,6.00,5.92,54.71,94.27,14.29,89.7,13.500,0.504,4.03,1.250,0.726,0.0,-9.6,1.622,12.27,450.1
104.091s,1122,1,0.0,0.00,0.00,6.00,5.92,54.71,94.27,14.29,89.7,13.500,0.504,4.03,1.250,0.726,0.0,-9.6,1.622,12.27,450.1
104.145s,1122,1,0.0,0.00,0.00,6.00,5.78,54.76,94.27,14.29,89.7,13.500,0.504,4.03,1.250,0.726,0.0,-9.6,1.622,12.27,450.1
104.199s,1122,1,0.0,0.00,0.00,6.00,5.78,54.76,93.83,14.29,89.8,13.500,0.504,4.03,1.250,0.726,0.0,-9.6,1.622,12.27,450.1
104.253s,1122,1,0.0,0.00,0.00,6.00,5.78,54.76,93.83,14.29,89.8,13.500,0.504,4.07,1.250,0.726,0.0,-9.6,1.622,12.27,450.1
104.307s,1122,1,0.0,0.00,0.00,6.00,5.78,54.76,93.83,14.29,89.8,13.500,0.504,4.07,1.250,0.726,0.0,-9.8,1.622,12.27,450.1
104.361s,1122,1,0.0,0.00,0.00,6.00,5.78,54.76,93.83,14.29,89.8,13.500,0.504,4.07,1.250,0.726,0.0,-9.8,1.624,12.27,450.0
104.415s,1117,1,0.0,0.00,0.00,6.00,5.78,54.76,93.83,14.29,89.8,13.500,0.504,4.07,1.250,0.726,0.0,-9.8,1.624,12.27,450.0
104.469s,1117,1,0.0,0.00,0.00,6.00,5.92,54.76,93.83,14.29,89.8,13.500,0.504,4.07,1.250,0.726,0.0,-9.8,1.624,12.27,450.0
104.523s,1117,1,0.0,0.00,0.00,6.00,5.92,54.85,93.83,14.29,89.8,13.500,0.504,4.07,1.250,0.726,0.0,-9.8,1.624,12.27,450.0
104.577s,1117,1,0.0,0.00,0.00,6.00,5.92,54.85,93.83,14.29,89.8,13.212,0.504,4.07,1.250,0.726,0.0,-9.8,1.624,12.27,450.0
104.631s,1117,1,0.0,0.00,0.00,6.00,5.92,54.85,93.83,14.29,89.8,13.212,0.504,4.07,1.250,0.726,0.0,-9.8,1.624,12.27,450.0
104.685s,1117,1,0.0,0.00,0.00,6.00,5.92,54.85,93.83,14.29,89.8,13.212,0.504,4.07,1.250,0.726,0.0,-9.9,1.631,12.27,450.0
104.739s,1110,1,0.0,0.00,0.00,6.00,5.92,54.85,93.83,14.29,89.8,13.212,0.504,4.07,1.250,0.726,0.0,-9.9,1.631,12.27,451.0
104.793s,1110,1,0.0,0.00,0.00,6.00,5.92,54.85,93.83,14.29,89.8,13.212,0.504,4.07,1.250,0.726,0.0,-9.9,1.631,12.27,451.0
104.847s,1110,1,0.0,0.00,0.00,6.00,5.92,54.91,94.27,14.29,89.8,13.212,0.504,4.07,1.250,0.726,0.0,-9.9,1.631,12.27,451.0
104.901s,1110,1,0.0,0.00,0.00,6.00,5.92,54.91,94.27,14.29,89.7,13.212,0.504,4.07,1.250,0.726,0.0,-9.9,1.631,12.27,451.0
104.955s,1110,1,0.0,0.00,0.00,6.00,5.92,54.91,94.27,14.29,89.7,13.212,0.504,4.12,1.250,0.726,0.0,-9.9,1.631,12.27,451.0
105.009s,1110,1,0.0,0.00,0.00,6.00,5.92,54.91,94.27,14.29,89.7,13.212,0.504,4.12,1.250,0.726,0.0,-10.0,1.618,12.27,451.0
105.063s,1102,1,0.0,0.00,0.00,6.00,5.92,54.91,94.27,14.29,89.7,13.212,0.504,4.12,1.250,0.726,0.0,-10.0,1.618,12.27,451.1
105.117s,1102,1,0.0,0.00,0.00,6.00,5.92,54.91,94.27,14.29,89.7,13.212,0.504,4.12,1.250,0.726,0.0,-10.0,1.618,12.27,451.1
105.171s,1102,1,0.0,0.00,0.00,6.00,5.92,54.98,94.27,14.29,89.7,13.212,0.504,4.12,1.250,0.726,0.0,-10.0,1.618,12.27,451.1
105.225s,1102,1,0.0,0.00,0.00,6.00,5.92,54.98,94.27,14.29,89.7,13.140,0.504,4.12,1.250,0.726,0.0,-10.0,1.618,12.27,451.1
105.279s,1102,1,0.0,0.00,0.00,6.00,5.92,54.98,94.27,14.29,89.7,13.140,0.504,4.11,1.250,0.726,0.0,-10.0,1.618,12.27,451.1
105.333s,1102,1,0.0,0.00,0.00,6.00,5.92,54.98,94.27,14.29,89.7,13.140,0.504,4.11,1.250,0.726,0.0,-10.1,1.618,12.27,451.1
105.387s,1096,1,0.0,0.00,0.00,6.00,5.92,54.98,94.27,14.29,89.7,13.140,0.504,4.11,1.250,0.726,0.0,-10.1,1.618,12.27,451.2
105.441s,1096,1,0.0,0.00,0.00,6.00,5.92,54.98,94.27,14.29,89.7,13.140,0.504,4.11,1.250,0.726,0.0,-10.1,1.618,12.27,451.2
105.495s,1096,1,0.0,0.00,0.00,6.00,5.92,55.04,94.27,14.29,89.7,13.140,0.504,4.11,1.250,0.726,0.0,-10.1,1.618,12.27,451.2
105.549s,1096,1,0.0,0.00,0.00,6.00,5.92,55.04,94.27,14.29,89.9,13.140,0.504,4.11,1.250,0.726,0.0,-10.1,1.618,12.27,451.2
105.603s,1096,1,0.0,0.00,0.00,6.00,5.92,55.04,94.27,14.29,89.9,12.924,0.504,4.07,1.250,0.726,0.0,-10.1,1.618,12.27,451.2
105.657s,1096,1,0.0,0.00,0.00,6.00,5.92,55.04,94.27,14.29,89.9,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.618,12.27,451.2
105.711s,1084,1,0.0,0.00,0.00,6.00,5.92,55.04,94.27,14.29,89.9,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.605,12.27,451.6
105.765s,1084,1,0.0,0.00,0.00,6.00,5.92,55.04,94.27,14.29,89.9,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.605,12.27,451.6
105.819s,1084,1,0.0,0.00,0.00,6.00,5.92,55.04,94.27,14.29,89.9,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.605,12.27,451.6
105.873s,1084,1,0.0,0.00,0.00,6.00,5.92,55.15,94.27,14.29,89.8,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.605,12.27,451.6
105.927s,1084,1,0.0,0.00,0.00,6.00,5.92,55.15,94.27,14.29,89.8,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.605,12.27,451.6
105.981s,1084,1,0.0,0.00,0.00,6.00,5.92,55.15,94.27,14.29,89.8,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.605,12.27,451.6
106.035s,1084,1,0.0,0.00,0.00,6.00,5.92,55.15,94.27,14.29,89.8,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.591,12.27,451.9
106.089s,1082,1,0.0,0.00,0.00,6.00,5.92,55.15,94.27,14.29,89.8,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.591,12.27,451.9
106.143s,1082,1,0.0,0.00,0.00,6.00,5.92,55.15,94.27,14.29,89.8,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.591,12.27,451.9
106.197s,1082,1,0.0,0.00,0.00,6.00,5.92,55.17,94.27,14.29,89.8,12.924,0.504,4.07,1.250,0.726,0.0,-10.3,1.591,12.27,451.9
106.251s,1082,1,0.0,0.00,0.00,6.00,5.92,55.17,94.27,14.29,89.8,12.636,0.504,4.07,1.250,0.726,0.0,-10.3,1.591,12.27,451.9
106.305s,1082,1,0.0,0.00,0.00,6.00,5.92,55.17,94.27,14.29,89.8,12.636,0.504,4.00,1.250,0.726,0.0,-10.3,1.591,12.27,451.9
106.359s,1082,1,0.0,0.00,0.00,6.00,5.92,55.17,94.27,14.29,89.8,12.636,0.504,4.00,1.250,0.726,0.0,-10.5,1.617,12.27,451.9
106.413s,1072,1,0.0,0.00,0.00,6.00,5.92,55.17,94.27,14.29,89.8,12.636,0.504,4.00,1.250,0.726,0.0,-10.5,1.617,12.27,452.2
106.467s,1072,1,0.0,0.00,0.00,5.40,5.92,55.17,94.27,14.29,89.8,12.636,0.504,4.00,1.250,0.726,0.0,-10.5,1.617,12.27,452.2
106.521s,1072,1,0.0,0.00,0.00,5.40,5.78,55.26,94.27,14.29,89.8,12.636,0.504,4.00,1.250,0.726,0.0,-10.5,1.617,12.27,452.2
106.575s,1072,1,0.0,0.00,0.00,5.40,5.78,55.26,94.27,14.29,89.8,12.636,0.468,4.00,1.250,0.726,0.0,-10.5,1.617,12.27,452.2
106.629s,1072,1,0.0,0.00,0.00,5.40,5.78,55.26,94.27,14.29,89.8,12.636,0.468,4.04,1.250,0.726,0.0,-10.5,1.617,12.27,452.2
106.683s,1072,1,0.0,0.00,0.00,5.40,5.78,55.26,94.27,14.29,89.8,12.636,0.468,4.04,1.250,0.726,0.0,-10.6,1.610,12.27,452.2
106.737s,1068,1,0.0,0.00,0.00,5.40,5.78,55.26,94.27,14.29,89.8,12.636,0.468,4.04,1.250,0.726,0.0,-10.6,1.610,12.26,452.2
106.791s,1068,1,0.0,0.00,0.00,5.40,5.78,55.26,94.27,14.29,89.8,12.636,0.468,4.04,1.250,0.726,0.0,-10.6,1.610,12.26,452.2
106.845s,1068,1,0.0,0.00,0.00,5.40,5.52,55.32,94.27,14.29,89.8,12.636,0.468,4.04,1.250,0.726,0.0,-10.6,1.610,12.26,452.2
106.899s,1068,1,0.0,0.00,0.00,5.40,5.52,55.32,94.27,14.29,89.8,12.636,0.468,4.04,1.250,0.726,0.0,-10.6,1.610,12.26,452.2
106.953s,1068,1,0.0,0.00,0.00,5.40,5.52,55.32,94.27,14.29,89.8,12.636,0.468,4.05,1.250,0.726,0.0,-10.6,1.610,12.26,452.2
107.007s,1068,1,0.0,0.00,0.00,5.40,5.52,55.32,94.27,14.29,89.8,12.636,0.468,4.05,1.250,0.726,0.0,-10.7,1.610,12.26,452.2
107.061s,1060,1,0.0,0.00,0.00,5.40,5.52,55.32,94.27,14.29,89.8,12.636,0.468,4.05,1.250,0.726,0.0,-10.7,1.564,12.26,451.8
107.115s,1060,1,0.0,0.00,0.00,5.40,5.52,55.32,94.27,14.29,89.8,12.636,0.468,4.05,1.250,0.726,0.0,-10.7,1.564,12.26,451.8
107.169s,1060,1,0.0,0.00,0.00,5.40,5.38,55.39,94.27,14.29,89.8,12.636,0.468,4.05,1.250,0.726,0.0,-10.7,1.564,12.26,451.8
107.223s,1060,1,0.0,0.00,0.00,5.40,5.38,55.39,94.27,14.29,89.8,12.636,0.468,4.05,1.250,0.726,0.0,-10.7,1.564,12.26,451.8
107.277s,1060,1,0.0,0.00,0.00,5.40,5.38,55.39,94.27,14.29,89.8,12.564,0.468,3.99,1.250,0.726,0.0,-10.7,1.564,12.26,451.8
107.331s,1060,1,0.0,0.00,0.00,5.40,5.38,55.39,94.27,14.29,89.8,12.564,0.468,3.99,1.250,0.726,0.0,-10.9,1.564,12.26,451.8
107.385s,1060,1,0.0,0.00,0.00,5.40,5.38,55.39,94.27,14.29,89.8,12.564,0.468,3.99,1.250,0.726,0.0,-10.9,1.622,12.26,451.5
107.439s,1053,1,0.0,0.00,0.00,5.40,5.38,55.39,94.27,14.29,89.8,12.564,0.468,3.99,1.250,0.726,0.0,-10.9,1.622,12.26,451.5
107.493s,1053,1,0.0,0.00,0.00,5.40,5.52,55.39,94.27,14.29,89.8,12.564,0.468,3.99,1.250,0.726,0.0,-10.9,1.622,12.26,451.5
107.547s,1053,1,0.0,0.00,0.00,5.40,5.52,55.47,94.27,14.29,89.8,12.564,0.468,3.99,1.250,0.726,0.0,-10.9,1.622,12.26,451.5
107.601s,1053,1,0.0,0.00,0.00,5.40,5.52,55.47,94.27,14.29,90.0,12.348,0.468,3.99,1.250,0.726,0.0,-10.9,1.622,12.26,451.5
107.655s,1053,1,0.0,0.00,0.00,5.40,5.52,55.47,94.27,14.29,90.0,12.348,0.468,3.99,1.250,0.726,0.0,-10.9,1.622,12.26,451.5
107.709s,1053,1,0.0,0.00,0.00,5.40,5.52,55.47,94.27,14.29,90.0,12.348,0.468,3.99,1.250,0.726,0.0,-10.9,1.603,12.26,451.5
107.763s,1049,1,0.0,0.00,0.00,5.40,5.52,55.47,94.27,14.29,90.0,12.348,0.468,3.99,1.250,0.726,0.0,-10.9,1.603,12.26,451.2
107.817s,1049,1,0.0,0.00,0.00,5.40,5.52,55.47,94.27,14.29,90.0,12.348,0.468,3.99,1.250,0.726,0.0,-10.9,1.603,12.26,451.2
107.871s,1049,1,0.0,0.00,0.00,5.40,5.52,55.51,93.83,14.29,90.0,12.348,0.468,3.99,1.250,0.726,0.0,-10.9,1.603,12.26,451.2
107.925s,1049,1,0.0,0.00,0.00,5.40,5.52,55.51,93.83,14.29,90.0,12.132,0.468,3.99,1.250,0.726,0.0,-10.9,1.603,12.26,451.2
107.979s,1049,1,0.0,0.00,0.00,5.40,5.52,55.51,93.83,14.29,90.0,12.132,0.468,4.08,1.250,0.726,0.0,-10.9,1.603,12.26,451.2
108.033s,1049,1,0.0,0.00,0.00,5.40,5.52,55.51,93.83,14.29,90.0,12.132,0.468,4.08,1.250,0.726,0.0,-11.1,1.570,12.26,451.2
108.087s,1041,1,0.0,0.00,0.00,5.40,5.52,55.51,93.83,14.29,90.0,12.132,0.468,4.08,1.250,0.726,0.0,-11.1,1.570,12.26,451.2
108.141s,1041,1,0.0,0.00,0.00,5.40,5.52,55.51,93.83,14.29,90.0,12.132,0.468,4.08,1.250,0.726,0.0,-11.1,1.570,12.26,451.2
108.195s,1041,1,0.0,0.00,0.00,5.40,5.52,55.59,94.27,14.29,90.0,12.132,0.468,4.08,1.250,0.726,0.0,-11.1,1.570,12.26,451.2
108.249s,1041,1,0.0,0.00,0.00,5.40,5.52,55.59,94.27,14.29,89.9,12.132,0.468,4.08,1.250,0.726,0.0,-11.1,1.570,12.26,451.2
108.303s,1041,1,0.0,0.00,0.00,5.40,5.52,55.59,94.27,14.29,89.9,12.132,0.468,4.10,1.250,0.726,0.0,-11.1,1.570,12.26,451.2
108.357s,1041,1,0.0,0.00,0.00,5.40,5.52,55.59,94.27,14.29,89.9,12.132,0.468,4.10,1.250,0.726,0.0,-11.1,1.578,12.26,451.2
108.411s,1034,1,0.0,0.00,0.00,5.40,5.52,55.59,94.27,14.29,89.9,12.132,0.468,4.10,1.250,0.726,0.0,-11.1,1.578,12.26,451.4
108.465s,1034,1,0.0,0.00,0.00,5.40,5.52,55.59,94.27,14.29,89.9,12.132,0.468,4.10,1.250,0.726,0.0,-11.1,1.578,12.26,451.4
108.519s,1034,1,0.0,0.00,0.00,5.40,5.38,55.65,94.27,14.29,89.9,12.132,0.468,4.10,1.250,0.726,0.0,-11.1,1.578,12.26,451.4
108.573s,1034,1,0.0,0.00,0.00,5.40,5.38,55.65,93.83,14.29,90.0,12.132,0.468,4.10,1.250,0.726,0.0,-11.1,1.578,12.26,451.4
108.627s,1034,1,0.0,0.00,0.00,5.40,5.38,55.65,93.83,14.29,90.0,12.276,0.468,3.83,1.250,0.726,0.0,-11.1,1.578,12.26,451.4
108.681s,1034,1,0.0,0.00,0.00,5.40,5.38,55.65,93.83,14.29,90.0,12.276,0.468,3.83,1.250,0.726,0.0,-11.3,1.578,12.26,451.4
108.735s,1034,1,0.0,0.00,0.00,5.40,5.38,55.65,93.83,14.29,90.0,12.276,0.468,3.83,1.250,0.726,0.0,-11.3,1.585,12.26,452.1
108.789s,1029,1,0.0,0.00,0.00,5.40,5.38,55.65,93.83,14.29,90.0,12.276,0.468,3.83,1.250,0.726,0.0,-11.3,1.585,12.26,452.1
108.843s,1029,1,0.0,0.00,0.00,5.40,5.38,55.65,93.83,14.29,90.0,12.276,0.468,3.83,1.250,0.726,0.0,-11.3,1.585,12.26,452.1
108.897s,1029,1,0.0,0.00,0.00,5.40,5.38,55.72,93.83,14.29,89.9,12.276,0.468,3.83,1.250,0.726,0.0,-11.3,1.585,12.26,452.1
108.951s,1029,1,0.0,0.00,0.00,5.40,5.38,55.72,93.83,14.29,89.9,12.096,0.468,3.91,1.250,0.726,0.0,-11.3,1.585,12.26,452.1
109.005s,1029,1,0.0,0.00,0.00,5.40,5.38,55.72,93.83,14.29,89.9,12.096,0.468,3.91,1.250,0.727,0.0,-11.3,1.585,12.26,452.1
109.059s,1029,1,0.0,0.00,0.00,5.40,5.38,55.72,93.83,14.29,89.9,12.096,0.468,3.91,1.250,0.727,0.0,-11.4,1.621,12.26,452.5
109.113s,1019,1,0.0,0.00,0.00,5.40,5.38,55.72,93.83,14.29,89.9,12.096,0.468,3.91,1.250,0.727,0.0,-11.4,1.621,12.26,452.5
109.167s,1019,1,0.0,0.00,0.00,5.40,5.38,55.72,93.83,14.29,89.9,12.096,0.468,3.91,1.250,0.727,0.0,-11.4,1.621,12.26,452.5
109.221s,1019,1,0.0,0.00,0.00,5.40,5.38,55.80,93.83,14.29,89.9,12.096,0.468,3.91,1.250,0.727,0.0,-11.4,1.621,12.26,452.5
109.275s,1019,1,0.0,0.00,0.00,5.40,5.38,55.80,93.83,14.29,90.0,11.808,0.468,3.91,1.250,0.727,0.0,-11.4,1.621,12.26,452.5
109.329s,1019,1,0.0,0.00,0.00,5.40,5.38,55.80,93.83,14.29,90.0,11.808,0.468,4.03,1.250,0.726,0.0,-11.4,1.621,12.26,452.5
109.383s,1019,1,0.0,0.00,0.00,5.40,5.38,55.80,93.83,14.29,90.0,11.808,0.468,4.03,1.250,0.726,0.0,-11.5,1.595,12.26,452.5
109.437s,1014,1,0.0,0.00,0.00,5.40,5.38,55.80,93.83,14.29,90.0,11.808,0.468,4.03,1.250,0.726,0.0,-11.5,1.595,12.26,452.4
109.491s,1014,1,0.0,0.00,0.00,5.40,5.38,55.80,93.83,14.29,90.0,11.808,0.468,4.03,1.250,0.726,0.0,-11.5,1.595,12.26,452.4
109.545s,1014,1,0.0,0.00,0.00,5.40,5.38,55.87,93.83,14.29,90.0,11.808,0.468,4.03,1.250,0.726,0.0,-11.5,1.595,12.26,452.4
109.599s,1014,1,0.0,0.00,0.00,5.40,5.38,55.87,93.83,14.29,90.1,11.808,0.468,4.03,1.250,0.726,0.0,-11.5,1.595,12.26,452.4
109.653s,1014,1,0.0,0.00,0.00,5.40,5.38,55.87,93.83,14.29,90.1,11.808,0.468,4.04,1.250,0.726,0.0,-11.5,1.595,12.26,452.4
109.707s,1014,1,0.0,0.00,0.00,5.40,5.38,55.87,93.83,14.29,90.1,11.808,0.468,4.04,1.250,0.726,0.0,-11.6,1.609,12.26,452.4
109.761s,1007,1,0.0,0.00,0.00,5.40,5.38,55.87,93.83,14.29,90.1,11.808,0.468,4.04,1.250,0.726,0.0,-11.6,1.609,12.26,451.9
109.815s,1007,1,0.0,0.00,0.00,5.40,5.38,55.87,93.83,14.29,90.1,11.808,0.468,4.04,1.250,0.726,0.0,-11.6,1.609,12.26,451.9
109.869s,1007,1,0.0,0.00,0.00,5.40,5.38,55.93,93.83,14.29,90.1,11.808,0.468,4.04,1.250,0.726,0.0,-11.6,1.609,12.26,451.9
109.923s,1007,1,0.0,0.00,0.00,5.40,5.38,55.93,93.83,14.29,90.1,11.808,0.468,4.04,1.250,0.726,0.0,-11.6,1.609,12.26,451.9
109.977s,1007,1,0.0,0.00,0.00,5.40,5.38,55.93,93.83,14.29,90.1,11.808,0.504,6.03,1.250,0.726,0.0,-11.6,1.609,12.26,451.9
110.031s,1007,1,0.0,0.00,0.00,5.40,5.38,55.93,93.83,14.29,90.1,11.808,0.504,6.03,1.250,0.726,0.0,-11.8,1.609,12.26,451.9
110.085s,998,1,0.0,0.00,0.00,5.40,5.38,55.93,93.83,14.29,90.1,11.808,0.504,6.03,1.250,0.726,0.0,-11.8,1.880,7.26,451.6
110.139s,998,1,11.2,12.01,0.00,5.40,5.38,55.93,93.83,14.29,90.1,11.808,0.504,6.03,1.250,0.726,0.0,-11.8,1.880,7.26,451.6
110.193s,998,1,11.2,12.01,12.29,11.25,11.92,55.93,93.83,14.29,90.1,11.808,0.504,6.03,1.250,0.726,0.0,-11.8,1.880,7.26,451.6
110.247s,998,1,11.2,12.01,12.29,11.25,11.92,71.14,93.83,15.52,95.5,11.808,0.504,6.03,1.250,0.726,0.0,-11.8,1.880,7.26,451.6
110.301s,998,1,11.2,12.01,12.29,11.25,11.92,71.14,93.83,15.52,95.5,20.772,0.756,6.71,1.250,0.726,0.0,-11.8,1.880,7.26,451.6
110.355s,998,1,11.2,12.01,12.29,11.25,11.92,71.14,93.83,15.52,95.5,20.772,0.756,6.71,1.249,0.726,0.0,-11.9,1.880,7.26,451.6
110.409s,998,1,11.2,12.01,12.29,11.25,11.92,71.14,93.83,15.52,95.5,20.772,0.756,6.71,1.249,0.726,0.0,-11.9,2.100,12.26,449.9
110.463s,994,1,9.6,12.01,12.29,11.25,11.92,71.14,93.83,15.52,95.5,20.772,0.756,6.71,1.249,0.726,0.0,-11.9,2.100,12.26,449.9
110.517s,994,1,9.6,6.15,4.50,8.58,8.13,71.14,93.83,15.52,95.5,20.772,0.756,6.71,1.249,0.726,0.0,-11.9,2.100,12.26,449.9
110.571s,994,1,9.6,6.15,4.50,8.58,8.13,60.49,93.83,15.26,95.5,20.772,0.756,6.71,1.249,0.726,0.0,-11.9,2.100,12.26,449.9
110.625s,994,1,9.6,6.15,4.50,8.58,8.13,60.49,93.83,15.26,90.2,7.848,0.252,6.71,1.249,0.726,0.0,-11.9,2.100,12.26,449.9
110.679s,994,1,9.6,6.15,4.50,8.58,8.13,60.49,93.83,15.26,90.2,7.848,0.252,2.87,1.247,0.726,0.0,-11.9,2.100,12.26,449.9
110.733s,994,1,9.6,6.15,4.50,8.58,8.13,60.49,93.83,15.26,90.2,7.848,0.252,2.87,1.247,0.726,0.0,-12.0,1.445,7.26,449.9
110.787s,989,1,0.0,6.15,4.50,8.58,8.13,60.49,93.83,15.26,90.2,7.848,0.252,2.87,1.247,0.726,0.0,-12.0,1.445,7.26,452.5
110.841s,989,1,0.0,0.00,0.00,6.94,8.13,60.49,93.83,15.26,90.2,7.848,0.252,2.87,1.247,0.726,0.0,-12.0,1.445,7.26,452.5
110.895s,989,1,0.0,0.00,0.00,6.94,7.86,56.15,93.83,15.26,90.2,7.848,0.252,2.87,1.247,0.726,0.0,-12.0,1.445,7.26,452.5
